127.0.0.1 | 2021-07-12 02:41:58 | change stock  | QOH :0  to 50  | ROL : 0  to 10  | item :  | 123456 rank 1 slamc
172.16.50.232 | 2024-04-25 10:22:19 | change stock  | QOH :0 each to 13 each | ROL : 0 each to 5 each | item : Preformed  cosmetic arch wire NITI 014 upper (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-04-25 11:17:59 | change stock  | QOH :0 each to 9 each | ROL : 0 each to 3 each | item : Arch Wire Niti Turbo 017x025 Lower Small | S/651990 wo 11 Bandara MMAS
172.16.49.228 | 2024-04-25 07:56:57 | change stock  | QOH :0 pack to 2 pack | ROL : 0 pack to 1 pack | item : Damon arch wire 018 upper 10pcs/pack | S/651990 wo 11 Bandara MMAS
172.16.49.228 | 2024-04-25 08:04:58 | change stock  | QOH :2 roll to 2 roll | ROL : 1 roll to 1 roll | item : Sterilization Wrappers 75cm x 75cm  x 200m | S/651990 wo 11 Bandara MMAS
172.16.49.228 | 2024-04-25 08:09:41 | change stock  | QOH :0 pack to 50 pack | ROL : 0 pack to 10 pack | item : Preformed arch wire  SS Lower 018  (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.49.228 | 2024-04-25 08:09:54 | change stock  | QOH :21 pack to 21 pack | ROL : 5 pack to 5 pack | item : Preformed arch wire SS Upper 018  (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.49.228 | 2024-04-25 08:30:02 | change stock  | QOH :0 pack to 11 pack | ROL : 0 pack to 5 pack | item : Preformed SS arch wire 020 Lower (10pcs/ pack) | S/651990 wo 11 Bandara MMAS
172.16.49.228 | 2024-04-25 08:30:25 | change stock  | QOH :0 pack to 6 pack | ROL : 0 pack to 3 pack | item : Preformed SS arch wire 020 upper (10pcs/ pack) | S/651990 wo 11 Bandara MMAS
172.16.49.228 | 2024-04-25 08:31:33 | change stock  | QOH :7 pack to 7 pack | ROL : 3 pack to 3 pack | item : Preformed Niti  SE archwire L 012 Ortho Formed 1 Taperd (10pcs/pk) | S/651990 wo 11 Bandara MMAS
172.16.49.228 | 2024-04-25 08:34:05 | change stock  | QOH :0 each to 40 each | ROL : 0 each to 10 each | item : CAPlant 05 CW palatal implant | S/651990 wo 11 Bandara MMAS
172.16.49.228 | 2024-04-25 08:37:49 | change stock  | QOH :0 pack to 7 pack | ROL : 0 pack to 3 pack | item : Arch wire Niti reversed curved  017x025 Lower - 10 pcs pack | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:06:31 | change stock  | QOH :0 g to 1 g | ROL : 0 g to 1 g | item : Impression Material | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:07:00 | change stock  | QOH :1 g to 1 g | ROL : 1 g to 1 g | item : Impression Material | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:07:59 | change stock  | QOH :0 pack to 10 pack | ROL : 0 pack to 2 pack | item : Arch wire Niti 017 x 025 Upper   (10/Pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:08:51 | change stock  | QOH :0 pack to 8 pack | ROL : 0 pack to 1 pack | item : Arch wire Niti 017 x 025 Lower   (10/Pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:16:10 | change stock  | QOH :0 pack to 1 pack | ROL : 0 pack to 1 pack | item : Arch wire Niti reversed curved  017x  025 Upper  - 10 pcs pack | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:17:17 | change stock  | QOH :0 pack to 54 pack | ROL : 0 pack to 6 pack | item : Preformed ss arch wire 019x025 Lower  -(10 pcs pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:21:58 | change stock  | QOH :0 pack to 13 pack | ROL : 0 pack to 1 pack | item : Arch wire  preformed TMA 021x 025 Upper (10/Pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:22:54 | change stock  | QOH :0 pack to 9 pack | ROL : 0 pack to 1 pack | item : Arch wire  preformed TMA 021x 025 Lower (10/ Pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:24:44 | change stock  | QOH :0 pack to 2 pack | ROL : 0 pack to 1 pack | item : Arch wire  SS 016x 022 Upper medium - 10 pcs pack | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:29:33 | change stock  | QOH :0 pack to 34 pack | ROL : 0 pack to 6 pack | item : Preformed arch wire  SS  017 x 025  Lower 10 pcs/pack | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:39:12 | change stock  | QOH :0 each to 5 each | ROL : 0 each to 1 each | item : Perforemd Lower 2nd Bicuspid kit | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:42:38 | change stock  | QOH :0 pack to 22 pack | ROL : 0 pack to 3 pack | item : Arch wire NITI 019x025 Lower 10 pcs/pack | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:44:48 | change stock  | QOH :37 pack to 42 pack | ROL : 10 pack to 10 pack | item : Perforemd arch wire NiTi  018 x 025 Lower  - 10 pcs pack | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:46:25 | change stock  | QOH :0 pack to 2 pack | ROL : 0 pack to 1 pack | item : Reverse curve TMA with T loop 19x25    40 mm (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:55:17 | change stock  | QOH :0 g to 2 g | ROL : 0 g to 1 g | item : Light cure flowable  composite A2  | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 04:59:26 | change stock  | QOH :0 set to 70 set | ROL : 0 set to 12 set | item : Bracket MBT 022 twin upper anterior set (6/set) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:04:06 | change stock  | QOH :0 pack to 11 pack | ROL : 0 pack to 2 pack | item : Preformed Beta Titanium Arch Wire 021x025 Upper - 10 pcs set | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:04:19 | change stock  | QOH :0 pack to 11 pack | ROL : 0 pack to 1 pack | item : Preformed Beta Titanium Arch Wire 021x025 Lower- 10 pcs set | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:10:59 | change stock  | QOH :0 pack to 13 pack | ROL : 0 pack to 2 pack | item : Preformed Titanal Cosmetic Arch Wire 016x022 Upper (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:12:59 | change stock  | QOH :0 pack to 10 pack | ROL : 0 pack to 2 pack | item : Nitinol heat activated arch wire 016 Lower  (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:16:40 | change stock  | QOH :0 pack to 7 pack | ROL : 0 pack to 2 pack | item : Bondable buccal tubes 022 double tubes with mesial hook,lower left (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:17:19 | change stock  | QOH :0 pack to 5 pack | ROL : 0 pack to 1 pack | item : Bondable buccal tubes 022 double tubes with mesial hook,lower Right (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:18:12 | change stock  | QOH :0 pack to 5 pack | ROL : 0 pack to 1 pack | item : Preformed SS archwire 019x025 Lower (10pcs/pk) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:23:08 | change stock  | QOH :0 kit to 9 kit | ROL : 0 kit to 1 kit | item : Ceramic bracket with metal slot  paient kit(MBT 022)kit | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:25:03 | change stock  | QOH :0 pack to 10 pack | ROL : 0 pack to 1 pack | item : Preformed TMA arch wire 021 x 025 L (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:25:46 | change stock  | QOH :0 pack to 12 pack | ROL : 0 pack to 2 pack | item : Preformed TMA arch wire 017 x 025 U (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:38:52 | change stock  | QOH :1 pack to 1 pack | ROL : 1 pack to 1 pack | item : NiTi Turbo Wire 021x025 Lower Small | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:40:20 | change stock  | QOH :1 pack to 1 pack | ROL : 1 pack to 1 pack | item : NiTi Turbo Wire 021x025 Lower Small | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:52:03 | change stock  | QOH :0 pack to 2 pack | ROL : 0 pack to 1 pack | item : Replacement Bracket UL2  MBT 022 (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:53:12 | change stock  | QOH :4 pack to 00 pack | ROL : 1 pack to 00 pack | item : Replacement Bracket LR4  MBT 022 (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:54:32 | change stock  | QOH :0 pack to 4 pack | ROL : 0 pack to 1 pack | item : Replacement Bracket LL4  MBT 022 (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:56:22 | change stock  | QOH :0 pack to 1 pack | ROL : 0 pack to 1 pack | item : Damon arch wire 016 x 025 upper 10pcs/pack | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:57:49 | change stock  | QOH :0 pack to 1 pack | ROL : 0 pack to 1 pack | item : Damon arch wire 018 x 025 upper 10pcs/pack | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 05:58:29 | change stock  | QOH :0 pack to 1 pack | ROL : 0 pack to 1 pack | item : Damon arch wire 018 x 025 lower 10pcs/pack | S/651990 wo 11 Bandara MMAS
172.16.50.232 | 2024-05-05 06:00:00 | change stock  | QOH :0 pack to 7 pack | ROL : 0 pack to 1 pack | item : Intra Oral Latex elastics Medium(2 oz)dia.3/16"(1000/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.168 | 2024-08-04 12:52:24 | change stock  | QOH :0 pack to 2 pack | ROL : 0 pack to 1 pack | item : Replacement Bracket LR5  MBT 022 (10/pack) | S/651990 wo 11 Bandara MMAS
172.16.50.168 | 2024-08-04 12:53:37 | change stock  | QOH :10 pack to 2 pack | ROL :  pack to 1 pack | item : Replacement Bracket LL5  MBT 022 (10/pack) | S/651990 wo 11 Bandara MMAS
